trigram,frequency
tuhan yesus tuhan,9
judol saja tidak,8
bjorka yang asli,6
yesus tuhan yesus,6
bandar judol saja,6
maling motor saja,5
biar liat kerja,4
harga tanah kosong,4
facebluesmiling facebluesmiling facebluesmiling,4
plot twist nya,4
nangkep bandar judol,4
saja tidak becus,4
tuhan tuhan yesus,4
saja tidak nangkap,4
kurang orang jujur,3
bandar judol yang,3
rugi bandar judol,3
cari kambing hitam,3
ngomong suka bener,3
temen saya kena,3
luas tanah luas,3
tanah luas bangun,3
lokasi jln kedung,3
jln kedung baruk,3
hilang motor lapor,3
warga negara indonesia,3
yang salah tangkap,3
twist nya bjorka,3
nangkap bjorka nangkap,3
nangkap bandar judol,3
tidak prestasi butuh,3
tuhan surga tuhan,3
surga tuhan yesus,3
tuhan yesus duduk,3
tuhan bantu manusia,3
bjorka tangkap polisi,3
undang onno purbo,3
polisi nangkap bjorka,3
sudah tidak percaya,3
polisi salah tangkap,3
tidak tau tidak,3
fufufafa saja tidak,3
film the accountant,3
hacker kelas bjorka,3
saja salah tangkap,3
anak butuh khusus,3
facefuchsiatongueout facefuchsiatongueout facefuchsiatongueout,3
polisi tidak prestasi,3
nangkap maling motor,3
motor saja tidak,3
foto empat foto,2
kertas doang tidak,2
doang tidak tindak,2
perintah bjorka tangkap,2
bjorka tangkap bjorka,2
kurang orang pinter,2
orang pinter kurang,2
pinter kurang orang,2
rakyat sudah pinter,2
indonesia tidak kurang,2
tidak kurang orang,2
bikin akun nama,2
akun nama bjorka,2
nama bjorka polisi,2
mata saja tidak,2
saja tidak tangkap,2
makan gaji buta,2
polresta pangkal pinang,2
tangkep orang yang,2
yang rugi bandar,2
polisi yang jujur,2
kalau ngomong suka,2
urus jasa raharja,2
assalamualaikum jual rumah,2
jual rumah dengan,2
rumah dengan harga,2
dengan harga tanah,2
tanah kosong luas,2
kosong luas tanah,2
luas bangun mpersegi,2
bangun mpersegi cocok,2
mpersegi cocok usahadan,2
cocok usahadan rumah,2
usahadan rumah pribadi,2
rumah pribadi lokasi,2
pribadi lokasi jln,2
kedung baruk sby,2
baruk sby timur,2
sby timur persis,2
timur persis indomart,2
persis indomart rumah,2
indomart rumah ininol,2
rumah ininol jln,2
ininol jln raya,2
jln raya jual,2
raya jual cuman,2
jual cuman harga,2
cuman harga tanah,2
tanah kosong sajasurat,2
kosong sajasurat shm,2
sajasurat shm ready,2
shm ready kamar,2
ready kamar kos,2
kamar kos penuh,2
kos penuh hun,2
gila tidak itu,2
yang maling motor,2
hilang nya daerah,2
nebus itu motor,2
polisi reguler satu,2
tingkat polres pangkat,2
berita tangkap bjorka,2
publik kecoh lupa,2
nya sesuai sop,2
maling saja tidak,2
tidak dpt duit,2
bjorka tidak butuh,2
kamu pikir mudah,2
main judol yang,2
depan mata saja,2
kalau bjorka tidak,2
polisi salah tangkep,2
saya tidak ketawa,2
tidak karu orang,2
karu orang yang,2
kilang pertamina ledak,2
duit makan minum,2
gua bjorka nonton,2
bjorka nonton podcast,2
susah nangkep hacker,2
nangkep hacker bjorka,2
nya bjorka nya,2
anak indonesia yang,2
more and more,2
nangkep curanmor saja,2
anggota dpr bumn,2
yang tangkap main,2
yang ditangkep yang,2
ahli cyber security,2
cyber security indonesia,2
ngakak guling guling,2
cyber security nya,2
hacker seperti tidak,2
ketangkep warga bawa,2
banyak nonton film,2
nya anak anak,2
nya bjorka yang,2
anak muda cerdas,2
perintah orang yang,2
setor puluh juta,2
nangkep bjorka nangkep,2
orang sudah tau,2
saya mikir gitu,2
gua doang yang,2
sudah tidak malu,2
anak lulus sama,2
modal jual tanah,2
prestasi butuh kelas,2
rekening jabat bejat,2
tuhan yesus yesus,2
doa tuhan tuhan,2
lahir tanggal desember,2
duduk belah kanan,2
belah kanan tuhan,2
tuhan tuhan surga,2
yesus duduk belah,2
tuhan tuhan tuhan,2
tuhan tuhan doa,2
tuhan doa tuhan,2
doa tuhan bantu,2
tuhan bantu tuhan,2
motor lapor polisi,2
tidak lapor polisi,2
bjorka nonton ini,2
nonton ini podcast,2
salah tangkap polisi,2
tapi bjorka biar,2
bjorka biar keren,2
tangkap polisi orang,2
tau tidak prestasi,2
suruh nangkep hacker,2
bjorka alih isu,2
saja tidak ketangkep,2
nangkep hacker nangkep,2
nama bjorka tangkap,2
tidak bantu perintah,2
bener bener orang,2
yang bikin lapor,2
masuk polisi saja,2
sadar kalau trnyata,2
alangkah malu nya,2
polisi malu tidak,2
dunia nyata saja,2
hasil jual sawah,2
tangkap bandar judol,2
kaya film the,2
butuh khusus mampu,2
cheat point blank,2
sudah tidak harga,2
nangkep hacker kelas,2
yang tangkap bjorka,2
main nonton ginian,2
bisa nangkep bjorka,2
saya nonton youtube,2
salah tangkap mulu,2
tidak tangkap yang,2
sok nangkap bjorka,2
bjorka tangkap judol,2
nangkap hacker nangkap,2
milik akun fufufafa,2
coba undang pace,2
siplester saja tidak,2
sok sok nangkep,2
hacker nangkap maling,2
bjorka yang ditangkep,2
yang ditangkep polisi,2
ditangkep polisi anak,2
polisi anak punk,2
pungli nyusahin rakyat,2
white hat black,2
hat black hat,2
